id	direction	compartment	gpr	name	pathway	equation	definition	flux	min_flux	lowerbound	max_flux	upperbound
rxn08799_c0	=	Cytosol	(Hot5F3Rast.CDS.3490 or Hot5F3Rast.CDS.3490_mRNA)	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:0) (periplasm) [c0]		(1) cpd00001[c0] + (1) cpd15327[c0] <=> (2) cpd00067[c0] + (1) cpd00080[c0] + (1) cpd00214[c0]	(1) H2O [c0][c0] + (1) 1-hexadecanoyl-sn-glycerol 3-phosphate [c0][c0] <=> (2) H+ [c0][c0] + (1) Glycerol-3-phosphate [c0][c0] + (1) Palmitate [c0][c0]	0	0	-1000	0	1000
rxn05585_c0	>	Cytosol	(Hot5F3Rast.CDS.703_mRNA or Hot5F3Rast.CDS.703)	hexanesulfonate transport via ABC system [c0]		(1) cpd00001[c0] + (1) cpd00002[c0] + (1) cpd11578[e0] => (1) cpd00008[c0] + (1) cpd00009[c0] + (1) cpd00067[c0] + (1) cpd11578[c0]	(1) H2O [c0][c0] + (1) ATP [c0][c0] + (1) hexanesulfonate [e0][e0] => (1) ADP [c0][c0] + (1) Phosphate [c0][c0] + (1) H+ [c0][c0] + (1) hexanesulfonate [c0][c0]	0	0	0	0	1000
rxn00433_c0	>	Cytosol	((Hot5F3Rast.CDS.3682_mRNA or Hot5F3Rast.CDS.685 or Hot5F3Rast.CDS.3682 or Hot5F3Rast.CDS.685_mRNA) or (Hot5F3Rast.CDS.3680 or Hot5F3Rast.CDS.687_mRNA or Hot5F3Rast.CDS.3680_mRNA or Hot5F3Rast.CDS.687) or (Hot5F3Rast.CDS.688 or Hot5F3Rast.CDS.3677 or Hot5F3Rast.CDS.3677_mRNA or Hot5F3Rast.CDS.688_mRNA) or (Hot5F3Rast.CDS.686 or Hot5F3Rast.CDS.3681 or Hot5F3Rast.CDS.686_mRNA or Hot5F3Rast.CDS.3681_mRNA))	sarcosine:oxygen oxidoreductase (demethylating) [c0]		(1) cpd00001[c0] + (1) cpd00007[c0] + (1) cpd00183[c0] => (1) cpd00025[c0] + (1) cpd00033[c0] + (1) cpd00055[c0]	(1) H2O [c0][c0] + (1) O2 [c0][c0] + (1) Sarcosine [c0][c0] => (1) H2O2 [c0][c0] + (1) Glycine [c0][c0] + (1) Formaldehyde [c0][c0]	0	0	0	0	1000
rxn05957_c0	>	Cytosol	Hot5F3Rast.CDS.4605	O4-succinyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase [c0]		(1) cpd00239[c0] + (1) cpd00822[c0] => (1) cpd00036[c0] + (1) cpd00135[c0]	(1) H2S [c0][c0] + (1) O-Succinyl-L-homoserine [c0][c0] => (1) Succinate [c0][c0] + (1) Homocysteine [c0][c0]	0	0	0	0.0462611	1000
rxn05335_c0	=	Cytosol	(Hot5F3Rast.CDS.3041 or (Hot5F3Rast.CDS.4127 or Hot5F3Rast.CDS.4127_mRNA))	(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase [c0]		(1) cpd11484[c0] <=> (1) cpd00001[c0] + (1) cpd11467[c0]	(1) HMA [c0][c0] <=> (1) H2O [c0][c0] + (1) (2E)-Tetradecenoyl-[acp] [c0][c0]	0.0736277	0.00736277	-1000	3.55446	1000
rxn03023_c0	>	Cytosol	(Hot5F3Rast.CDS.5668_mRNA or Hot5F3Rast.CDS.5508 or Hot5F3Rast.CDS.4596 or Hot5F3Rast.CDS.5668)	ATP:5-dehydro-2-deoxy-D-gluconate 6-phosphotransferase [c0]		(1) cpd00002[c0] + (1) cpd02446[c0] => (1) cpd00008[c0] + (1) cpd00067[c0] + (1) cpd02721[c0]	(1) ATP [c0][c0] + (1) 5-Dehydro-2-deoxy-D-gluconate [c0][c0] => (1) ADP [c0][c0] + (1) H+ [c0][c0] + (1) DKHP [c0][c0]	0	0	0	0	1000
rxn03419_c0	=	Cytosol	Hot5F3Rast.CDS.3425	formamidopyrimidine nucleoside triphosphate amidohydrolase [c0]		(1) cpd00001[c0] + (1) cpd03518[c0] <=> (1) cpd00047[c0] + (1) cpd00067[c0] + (1) cpd03519[c0]	(1) H2O [c0][c0] + (1) Formamidopyrimidine nucleoside triphosphate [c0][c0] <=> (1) Formate [c0][c0] + (1) H+ [c0][c0] + (1) 2,5-Diaminopyrimidine nucleoside triphosphate [c0][c0]	0	0	-1000	0.00178111	1000
rxn00758_c0	>	Cytosol	(Hot5F3Rast.CDS.2199_mRNA or Hot5F3Rast.CDS.5425 or Hot5F3Rast.CDS.2830 or Hot5F3Rast.CDS.5264 or Hot5F3Rast.CDS.5425_mRNA or Hot5F3Rast.CDS.2199 or Hot5F3Rast.CDS.2830_mRNA or Hot5F3Rast.CDS.5264_mRNA)	sn-Glycero-3-phosphocholine glycerophosphohydrolase [c0]		(1) cpd00001[c0] + (1) cpd00507[c0] => (1) cpd00067[c0] + (1) cpd00080[c0] + (1) cpd00098[c0]	(1) H2O [c0][c0] + (1) Glycerophosphocholine [c0][c0] => (1) H+ [c0][c0] + (1) Glycerol-3-phosphate [c0][c0] + (1) Choline [c0][c0]	0	0	0	0	1000
rxn02103_c0	=	Cytosol	(Hot5F3Rast.CDS.3613_mRNA or Hot5F3Rast.CDS.3613)	(S)-Ureidoglycolate:NADP+ oxidoreductase [c0]		(1) cpd00006[c0] + (1) cpd00465[c0] <=> (1) cpd00005[c0] + (1) cpd00067[c0] + (1) cpd00596[c0]	(1) NADP [c0][c0] + (1) Ureidoglycolate [c0][c0] <=> (1) NADPH [c0][c0] + (1) H+ [c0][c0] + (1) Oxalurate [c0][c0]	0	-1000	-1000	1000	1000
rxn00638_c0	=	Cytosol	(Hot5F3Rast.CDS.3154 or Hot5F3Rast.CDS.3154_mRNA)	GDP-D-mannose:NAD+ 6-oxidoreductase [c0]		(1) cpd00001[c0] + (2) cpd00003[c0] + (1) cpd00083[c0] <=> (2) cpd00004[c0] + (3) cpd00067[c0] + (1) cpd00719[c0]	(1) H2O [c0][c0] + (2) NAD [c0][c0] + (1) GDP-mannose [c0][c0] <=> (2) NADH [c0][c0] + (3) H+ [c0][c0] + (1) GDP-D-mannuronate [c0][c0]	0	0	-1000	0	1000
rxn09111_c0	=	Cytosol	(Hot5F3Rast.CDS.2723_mRNA or Hot5F3Rast.CDS.2723)	Phosphatidylglycerol synthase (n-C16:0) [c0]		(1) cpd00080[c0] + (1) cpd15419[c0] <=> (1) cpd00046[c0] + (1) cpd15545[c0]	(1) Glycerol-3-phosphate [c0][c0] + (1) CDP-1,2-dihexadecanoylglycerol [c0][c0] <=> (1) CMP [c0][c0] + (1) Phosphatidylglycerophosphate dihexadecanoyl [c0][c0]	0	0	-1000	0	1000
rxn06078_c0	>	Cytosol	(Hot5F3Rast.CDS.4147_mRNA or Hot5F3Rast.CDS.3423_mRNA or Hot5F3Rast.CDS.4147 or Hot5F3Rast.CDS.4605 or Hot5F3Rast.CDS.3423)	O-acetyl-L-homoserine acetate-lyase (L-homocysteine forming) [c0]		(1) cpd00268[c0] + (1) cpd00790[c0] + (1) cpd11421[c0] => (1) cpd00029[c0] + (1) cpd00067[c0] + (1) cpd00081[c0] + (1) cpd00135[c0] + (1) cpd11420[c0]	(1) H2S2O3 [c0][c0] + (1) O-Acetyl-L-homoserine [c0][c0] + (1) trdrd [c0][c0] => (1) Acetate [c0][c0] + (1) H+ [c0][c0] + (1) Sulfite [c0][c0] + (1) Homocysteine [c0][c0] + (1) trdox [c0][c0]	0	0	0	0	1000
rxn00471_c0	>	Cytosol	(Hot5F3Rast.CDS.4041_mRNA or Hot5F3Rast.CDS.5010_mRNA or Hot5F3Rast.CDS.2000_mRNA or Hot5F3Rast.CDS.4041 or Hot5F3Rast.CDS.5010 or Hot5F3Rast.CDS.2000)	L-ornithine ammonia-lyase (cyclizing; L-proline-forming) [c0]		(1) cpd00064[c0] => (1) cpd00013[c0] + (1) cpd00129[c0]	(1) Ornithine [c0][c0] => (1) NH3 [c0][c0] + (1) L-Proline [c0][c0]	0	0	0	49.2246	1000
rxn05595_c0	=	Cytosol	((Hot5F3Rast.CDS.3829_mRNA or Hot5F3Rast.CDS.3427_mRNA or Hot5F3Rast.CDS.3829 or Hot5F3Rast.CDS.3427) or (Hot5F3Rast.CDS.3828 or Hot5F3Rast.CDS.3828_mRNA))	TRANS-RXN-3.ce [c0]		(1) cpd00067[e0] + (1) cpd00205[e0] <=> (1) cpd00067[c0] + (1) cpd00205[c0]	(1) H+ [e0][e0] + (1) K+ [e0][e0] <=> (1) H+ [c0][c0] + (1) K+ [c0][c0]	0.00118741	-196.898	-1000	196.899	1000
rxn05348_c0	>	Cytosol	((Hot5F3Rast.CDS.4229 or Hot5F3Rast.CDS.4229_mRNA) or (Hot5F3Rast.CDS.3043 or Hot5F3Rast.CDS.3043_mRNA) or (Hot5F3Rast.CDS.4483 or Hot5F3Rast.CDS.4483_mRNA))	Decanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) [c0]		(1) cpd11474[c0] + (1) cpd11492[c0] => (1) cpd00011[c0] + (1) cpd11489[c0] + (1) cpd11493[c0]	(1) Decanoyl-ACP [c0][c0] + (1) Malonyl-acyl-carrierprotein- [c0][c0] => (1) CO2 [c0][c0] + (1) 3-oxododecanoyl-acp [c0][c0] + (1) ACP [c0][c0]	0.133144	0.0133144	0	3.56042	1000
rxn05435_c0	>	Cytosol	(Hot5F3Rast.CDS.3962_mRNA or Hot5F3Rast.CDS.3962 or Hot5F3Rast.CDS.3044 or Hot5F3Rast.CDS.3044_mRNA)	8-methyl-trans-dec-2-enoyl-ACP:NAD+ oxidoreductase (A-specific) [c0]		(1) cpd00004[c0] + (1) cpd00067[c0] + (1) cpd11506[c0] => (1) cpd00003[c0] + (1) cpd11507[c0]	(1) NADH [c0][c0] + (1) H+ [c0][c0] + (1) 8-methyl-trans-dec-2-enoyl-ACP [c0][c0] => (1) NAD [c0][c0] + (1) 8-methyl-decanoyl-ACP [c0][c0]	0	0	0	0	1000
rxn03245_c0	=	Cytosol	((Hot5F3Rast.CDS.95 or Hot5F3Rast.CDS.1295 or Hot5F3Rast.CDS.1280 or Hot5F3Rast.CDS.1295_mRNA or Hot5F3Rast.CDS.1937 or Hot5F3Rast.CDS.1376_mRNA or Hot5F3Rast.CDS.1238 or Hot5F3Rast.CDS.1238_mRNA or Hot5F3Rast.CDS.3726_mRNA or Hot5F3Rast.CDS.1376 or Hot5F3Rast.CDS.4270_mRNA or Hot5F3Rast.CDS.1108 or Hot5F3Rast.CDS.1274 or Hot5F3Rast.CDS.1294 or Hot5F3Rast.CDS.3726 or Hot5F3Rast.CDS.5101 or Hot5F3Rast.CDS.1_mRNA or Hot5F3Rast.CDS.4270 or Hot5F3Rast.CDS.1 or Hot5F3Rast.CDS.1280_mRNA or Hot5F3Rast.CDS.501 or Hot5F3Rast.CDS.95_mRNA or Hot5F3Rast.CDS.5101_mRNA or Hot5F3Rast.CDS.5097 or Hot5F3Rast.CDS.1294_mRNA or Hot5F3Rast.CDS.501_mRNA or Hot5F3Rast.CDS.5392_mRNA or Hot5F3Rast.CDS.5392 or Hot5F3Rast.CDS.1274_mRNA) or Hot5F3Rast.CDS.2217)	(S)-Hydroxydecanoyl-CoA hydro-lyase [c0]		(1) cpd03118[c0] <=> (1) cpd00001[c0] + (1) cpd03129[c0]	(1) (S)-Hydroxydecanoyl-CoA [c0][c0] <=> (1) H2O [c0][c0] + (1) (2E)-Decenoyl-CoA [c0][c0]	0	-3.5471	-1000	0	1000
rxn11946_c0	=	Cytosol	Hot5F3Rast.CDS.2335	R05614 [c0]		(1) cpd00017[c0] + (1) cpd03449[c0] <=> (1) cpd00019[c0] + (1) cpd00067[c0] + (1) cpd15560[c0]	(1) S-Adenosyl-L-methionine [c0][c0] + (1) 2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone [c0][c0] <=> (1) S-Adenosyl-homocysteine [c0][c0] + (1) H+ [c0][c0] + (1) Ubiquinone-8 [c0][c0]	0.000593704	5.93704e-05	-1000	0.000593704	1000
rxn01504_c0	=	Cytosol	(Hot5F3Rast.CDS.1224_mRNA or Hot5F3Rast.CDS.4715 or Hot5F3Rast.CDS.1234_mRNA or Hot5F3Rast.CDS.1224 or Hot5F3Rast.CDS.4715_mRNA or Hot5F3Rast.CDS.1256 or Hot5F3Rast.CDS.1234 or Hot5F3Rast.CDS.1256_mRNA)	(S)-3-Hydroxy-3-methylglutaryl-CoA hydro-lyase (trans-3-methylglutaconyl-CoA-forming) [c0]		(1) cpd00292[c0] <=> (1) cpd00001[c0] + (1) cpd02068[c0]	(1) HMG-CoA [c0][c0] <=> (1) H2O [c0][c0] + (1) 3-Methylglutaconyl-CoA [c0][c0]	0	0	-1000	0	1000
rxn00907_c0	=	Cytosol	(Hot5F3Rast.CDS.1676 or Hot5F3Rast.CDS.4342)	5,10-methylenetetrahydrofolate:NADP+ oxidoreductase [c0]		(1) cpd00006[c0] + (1) cpd00125[c0] <=> (1) cpd00005[c0] + (1) cpd00347[c0]	(1) NADP [c0][c0] + (1) 5-10-Methylenetetrahydrofolate [c0][c0] <=> (1) NADPH [c0][c0] + (1) 5-10-Methenyltetrahydrofolate [c0][c0]	0.395559	0.0393778	-1000	31.1134	1000
rxn05458_c0	=	Cytosol	(Hot5F3Rast.CDS.4487 or Hot5F3Rast.CDS.4487_mRNA)	[Acyl-carrier-protein] acetyltransferase [c0]		(1) cpd00010[c0] + (1) cpd00067[c0] + (1) cpd11476[c0] <=> (1) cpd00134[c0] + (1) cpd11493[c0]	(1) CoA [c0][c0] + (1) H+ [c0][c0] + (1) hexadecanoyl-acp [c0][c0] <=> (1) Palmitoyl-CoA [c0][c0] + (1) ACP [c0][c0]	0	0	-1000	49.2246	1000
rxn02404_c0	>	Cytosol	Hot5F3Rast.CDS.4929	3-Deoxy-D-manno-octulosonate-8-phosphate 8-phosphohydrolase [c0]		(1) cpd00001[c0] + (1) cpd02730[c0] => (1) cpd00009[c0] + (1) cpd00875[c0]	(1) H2O [c0][c0] + (1) 3-Deoxy-D-manno-octulosonate8-phosphate [c0][c0] => (1) Phosphate [c0][c0] + (1) KDO [c0][c0]	0.0238064	0.00238064	0	0.0238064	1000
rxn01644_c0	>	Cytosol	(Hot5F3Rast.CDS.5052_mRNA or Hot5F3Rast.CDS.5052 or Hot5F3Rast.CDS.5365_mRNA or Hot5F3Rast.CDS.5365 or Hot5F3Rast.CDS.2488_mRNA or Hot5F3Rast.CDS.2488)	L-Aspartate-4-semialdehyde hydro-lyase (adding pyruvate and cyclizing) [c0]		(1) cpd00020[c0] + (1) cpd00346[c0] => (2) cpd00001[c0] + (1) cpd00067[c0] + (1) cpd02120[c0]	(1) Pyruvate [c0][c0] + (1) L-Aspartate4-semialdehyde [c0][c0] => (2) H2O [c0][c0] + (1) H+ [c0][c0] + (1) Dihydrodipicolinate [c0][c0]	0	0	0	2.20929	1000
rxn06887_c0	>	Cytosol	(Hot5F3Rast.CDS.3581_mRNA or Hot5F3Rast.CDS.3581)	R05224 [c0]		(2) cpd00001[c0] + (2) cpd00002[c0] + (2) cpd00053[c0] + (1) cpd03832[c0] => (2) cpd00008[c0] + (2) cpd00009[c0] + (2) cpd00023[c0] + (2) cpd00067[c0] + (1) cpd03913[c0]	(2) H2O [c0][c0] + (2) ATP [c0][c0] + (2) L-Glutamine [c0][c0] + (1) Hydrogenobyrinate [c0][c0] => (2) ADP [c0][c0] + (2) Phosphate [c0][c0] + (2) L-Glutamate [c0][c0] + (2) H+ [c0][c0] + (1) Hydrogenobyrinate diamide [c0][c0]	0	0	0	0	1000
rxn02911_c0	=	Cytosol	((Hot5F3Rast.CDS.95 or Hot5F3Rast.CDS.1295 or Hot5F3Rast.CDS.1280 or Hot5F3Rast.CDS.1295_mRNA or Hot5F3Rast.CDS.1937 or Hot5F3Rast.CDS.1376_mRNA or Hot5F3Rast.CDS.1238 or Hot5F3Rast.CDS.1238_mRNA or Hot5F3Rast.CDS.3726_mRNA or Hot5F3Rast.CDS.1376 or Hot5F3Rast.CDS.4270_mRNA or Hot5F3Rast.CDS.1108 or Hot5F3Rast.CDS.1274 or Hot5F3Rast.CDS.1294 or Hot5F3Rast.CDS.3726 or Hot5F3Rast.CDS.5101 or Hot5F3Rast.CDS.1_mRNA or Hot5F3Rast.CDS.4270 or Hot5F3Rast.CDS.1 or Hot5F3Rast.CDS.1280_mRNA or Hot5F3Rast.CDS.501 or Hot5F3Rast.CDS.95_mRNA or Hot5F3Rast.CDS.5101_mRNA or Hot5F3Rast.CDS.5097 or Hot5F3Rast.CDS.1294_mRNA or Hot5F3Rast.CDS.501_mRNA or Hot5F3Rast.CDS.5392_mRNA or Hot5F3Rast.CDS.5392 or Hot5F3Rast.CDS.1274_mRNA) or Hot5F3Rast.CDS.2217)	(S)-3-Hydroxydodecanoyl-CoA hydro-lyase [c0]		(1) cpd03116[c0] <=> (1) cpd00001[c0] + (1) cpd02060[c0]	(1) (S)-3-Hydroxydodecanoyl-CoA [c0][c0] <=> (1) H2O [c0][c0] + (1) (2E)-Dodecenoyl-CoA [c0][c0]	0	-3.5471	-1000	0	1000
rxn01280_c0	=	Cytosol	(Hot5F3Rast.CDS.3833_mRNA or Hot5F3Rast.CDS.3833)	(R)-Glycerate:NAD+ oxidoreductase [c0]		(1) cpd00003[c0] + (1) cpd00223[c0] <=> (1) cpd00004[c0] + (1) cpd00067[c0] + (1) cpd00843[c0]	(1) NAD [c0][c0] + (1) Glycerate [c0][c0] <=> (1) NADH [c0][c0] + (1) H+ [c0][c0] + (1) Tartronate semialdehyde [c0][c0]	0	-1000	-1000	1000	1000
rxn05450_c0	>	Cytosol	(Hot5F3Rast.CDS.3962_mRNA or Hot5F3Rast.CDS.3962 or Hot5F3Rast.CDS.3044 or Hot5F3Rast.CDS.3044_mRNA)	14-methyl-trans-pentadec-2-enoyl-ACP:NAD+ oxidoreductase (A-specific) [c0]		(1) cpd00004[c0] + (1) cpd00067[c0] + (1) cpd11568[c0] => (1) cpd00003[c0] + (1) cpd11569[c0]	(1) NADH [c0][c0] + (1) H+ [c0][c0] + (1) 14-methyl-trans-pentadec-2-enoyl-ACP [c0][c0] => (1) NAD [c0][c0] + (1) 14-methyl-pentadecanoyl-ACP [c0][c0]	0	0	0	0	1000
rxn12847_c0	=	Cytosol	((Hot5F3Rast.CDS.3699_mRNA or Hot5F3Rast.CDS.2604_mRNA or Hot5F3Rast.CDS.3699 or Hot5F3Rast.CDS.2604) or (Hot5F3Rast.CDS.3762 or Hot5F3Rast.CDS.3762_mRNA) or (Hot5F3Rast.CDS.2465_mRNA or Hot5F3Rast.CDS.5044 or Hot5F3Rast.CDS.2465 or Hot5F3Rast.CDS.5044_mRNA) or (Hot5F3Rast.CDS.4751_mRNA or Hot5F3Rast.CDS.4751) or (Hot5F3Rast.CDS.2797_mRNA or Hot5F3Rast.CDS.2797))	Gly-Try aminopeptidase [c0]		(1) cpd00001[c0] + (1) cpd15606[c0] <=> (1) cpd00033[c0] + (1) cpd00069[c0]	(1) H2O [c0][c0] + (1) Gly-Tyr [c0][c0] <=> (1) Glycine [c0][c0] + (1) L-Tyrosine [c0][c0]	0	0	-1000	0	1000
rxn05410_c0	=	Cytosol	(Hot5F3Rast.CDS.981_mRNA or Hot5F3Rast.CDS.981)	4-methyl-3-oxo-pentanoyl-ACP:NADP+ oxidoreductase [c0]		(1) cpd00005[c0] + (1) cpd00067[c0] + (1) cpd11546[c0] <=> (1) cpd00006[c0] + (1) cpd11547[c0]	(1) NADPH [c0][c0] + (1) H+ [c0][c0] + (1) 4-methyl-3-oxo-pentanoyl-ACP [c0][c0] <=> (1) NADP [c0][c0] + (1) 4-methyl-3-hydroxy-pentanoyl-ACP [c0][c0]	0	0	-1000	0	1000
rxn05443_c0	>	Cytosol	(Hot5F3Rast.CDS.3962_mRNA or Hot5F3Rast.CDS.3962 or Hot5F3Rast.CDS.3044 or Hot5F3Rast.CDS.3044_mRNA)	13-methyl-trans-tetra-dec-2-enoyl-ACP:NAD+ oxidoreductase (A-specific) [c0]		(1) cpd00004[c0] + (1) cpd00067[c0] + (1) cpd11539[c0] => (1) cpd00003[c0] + (1) cpd11540[c0]	(1) NADH [c0][c0] + (1) H+ [c0][c0] + (1) 13-methyl-trans-tetra-dec-2-enoyl-ACP [c0][c0] => (1) NAD [c0][c0] + (1) 13-methyl-tetra-decanoyl-ACP [c0][c0]	0	0	0	0	1000
rxn09114_c0	=	Cytosol	(Hot5F3Rast.CDS.2723_mRNA or Hot5F3Rast.CDS.2723)	Phosphatidylglycerol synthase (n-C18:1) [c0]		(1) cpd00080[c0] + (1) cpd15420[c0] <=> (1) cpd00046[c0] + (1) cpd15548[c0]	(1) Glycerol-3-phosphate [c0][c0] + (1) CDP-1,2-dioctadec-11-enoylglycerol [c0][c0] <=> (1) CMP [c0][c0] + (1) Phosphatidylglycerophosphate dioctadec-11-enoyl [c0][c0]	0	0	-1000	0	1000
rxn05535_c0	>	Cytosol	((Hot5F3Rast.CDS.156 or Hot5F3Rast.CDS.156_mRNA) and (Hot5F3Rast.CDS.67 or Hot5F3Rast.CDS.838_mRNA or Hot5F3Rast.CDS.837_mRNA or Hot5F3Rast.CDS.838 or Hot5F3Rast.CDS.837 or Hot5F3Rast.CDS.67_mRNA))	oligopeptide-transporting ATPase [c0]		(1) cpd00001[c0] + (1) cpd00002[c0] + (1) cpd11591[e0] => (1) cpd00008[c0] + (1) cpd00009[c0] + (1) cpd00067[c0] + (1) cpd11591[c0]	(1) H2O [c0][c0] + (1) ATP [c0][c0] + (1) Gly-Met [e0][e0] => (1) ADP [c0][c0] + (1) Phosphate [c0][c0] + (1) H+ [c0][c0] + (1) Gly-Met [c0][c0]	0	0	0	0	1000
rxn09188_c0	=	Cytosol	Hot5F3Rast.CDS.3036	Proline dehydrogenase [c0]		(1) cpd00015[c0] + (1) cpd00129[c0] <=> (1) cpd00982[c0] + (1) cpd02431[c0]	(1) FAD [c0][c0] + (1) L-Proline [c0][c0] <=> (1) FADH2 [c0][c0] + (1) 1-Pyrroline-5-carboxylate [c0][c0]	-0.0660232	-1000	-1000	1000	1000
rxn08822_c0	=	Cytosol	(Hot5F3Rast.CDS.3490 or Hot5F3Rast.CDS.3490_mRNA)	Lysophospholipase L2 (2-acylglycerophosphotidate, n-C18:0) [c0]		(1) cpd00001[c0] + (1) cpd15358[c0] <=> (2) cpd00067[c0] + (1) cpd00080[c0] + (1) cpd01080[c0]	(1) H2O [c0][c0] + (1) 2-octadecanoyl-sn-glycerol 3-phosphate [c0][c0] <=> (2) H+ [c0][c0] + (1) Glycerol-3-phosphate [c0][c0] + (1) ocdca [c0][c0]	0	0	-1000	0	1000
rxn05030_c0	>	Cytosol	(Hot5F3Rast.CDS.4120 or Hot5F3Rast.CDS.4120_mRNA)	di-trans,poly-cis-decaprenyl-diphosphate:isopentenyl-diphosphate undecaprenylcistransferase [c0]		(1) cpd00113[c0] + (1) cpd02746[c0] => (1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd02229[c0]	(1) Isopentenyldiphosphate [c0][c0] + (1) all trans Decaprenyl diphosphate [c0][c0] => (1) PPi [c0][c0] + (1) H+ [c0][c0] + (1) Bactoprenyl diphosphate [c0][c0]	0.0119032	0.00119032	0	0.0119032	1000
rxn05345_c0	>	Cytosol	((Hot5F3Rast.CDS.4229 or Hot5F3Rast.CDS.4229_mRNA) or (Hot5F3Rast.CDS.3043 or Hot5F3Rast.CDS.3043_mRNA) or (Hot5F3Rast.CDS.4483 or Hot5F3Rast.CDS.4483_mRNA))	dodecanoyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) [c0]		(1) cpd11468[c0] + (1) cpd11492[c0] => (1) cpd00011[c0] + (1) cpd11491[c0] + (1) cpd11493[c0]	(1) Dodecanoyl-ACP [c0][c0] + (1) Malonyl-acyl-carrierprotein- [c0][c0] => (1) CO2 [c0][c0] + (1) 3-oxotetradecanoyl-acp [c0][c0] + (1) ACP [c0][c0]	0.12124	0.012124	0	3.55923	1000
rxn01522_c0	>	Cytosol	((Hot5F3Rast.CDS.2504 or Hot5F3Rast.CDS.3502) and (Hot5F3Rast.CDS.2503 or Hot5F3Rast.CDS.3503_mRNA or Hot5F3Rast.CDS.2503_mRNA or Hot5F3Rast.CDS.3503) and (Hot5F3Rast.CDS.2504 or Hot5F3Rast.CDS.3502))	xanthine:NAD+ oxidoreductase [c0]		(1) cpd00001[c0] + (1) cpd00003[c0] + (1) cpd00309[c0] => (1) cpd00004[c0] + (1) cpd00067[c0] + (1) cpd00300[c0]	(1) H2O [c0][c0] + (1) NAD [c0][c0] + (1) XAN [c0][c0] => (1) NADH [c0][c0] + (1) H+ [c0][c0] + (1) Urate [c0][c0]	0	0	0	0	1000
rxn05422_c0	=	Cytosol	(Hot5F3Rast.CDS.981_mRNA or Hot5F3Rast.CDS.981)	10-methyl-3-oxo-undecanoyl-ACP:NADP+ oxidoreductase [c0]		(1) cpd00005[c0] + (1) cpd00067[c0] + (1) cpd11558[c0] <=> (1) cpd00006[c0] + (1) cpd11559[c0]	(1) NADPH [c0][c0] + (1) H+ [c0][c0] + (1) 10-methyl-3-oxo-undecanoyl-ACP [c0][c0] <=> (1) NADP [c0][c0] + (1) 10-methyl-3-hydroxy-undecanoyl-ACP [c0][c0]	0	0	-1000	0	1000
rxn01465_c0	=	Cytosol	(Hot5F3Rast.CDS.1695_mRNA or Hot5F3Rast.CDS.4655 or Hot5F3Rast.CDS.4655_mRNA or Hot5F3Rast.CDS.1695)	(S)-dihydroorotate amidohydrolase [c0]		(1) cpd00001[c0] + (1) cpd00282[c0] <=> (1) cpd00067[c0] + (1) cpd00343[c0]	(1) H2O [c0][c0] + (1) S-Dihydroorotate [c0][c0] <=> (1) H+ [c0][c0] + (1) N-Carbamoyl-L-aspartate [c0][c0]	-0.0649246	-3.38985	-1000	-0.00649246	1000
rxn01833_c0	>	Cytosol	(Hot5F3Rast.CDS.2822 or Hot5F3Rast.CDS.2822_mRNA)	aminoacetone:oxygen oxidoreductase(deaminating) [c0]		(1) cpd00001[c0] + (1) cpd00007[c0] + (1) cpd01298[c0] => (1) cpd00013[c0] + (1) cpd00025[c0] + (1) cpd00428[c0]	(1) H2O [c0][c0] + (1) O2 [c0][c0] + (1) Aminoacetone [c0][c0] => (1) NH3 [c0][c0] + (1) H2O2 [c0][c0] + (1) 2-Oxopropanal [c0][c0]	0	0	0	6.07604	1000
rxn05145_c0	>	Cytosol	(((Hot5F3Rast.CDS.4151_mRNA or Hot5F3Rast.CDS.4151) and (Hot5F3Rast.CDS.4152_mRNA or Hot5F3Rast.CDS.4152) and (Hot5F3Rast.CDS.4149 or Hot5F3Rast.CDS.4149_mRNA) and (Hot5F3Rast.CDS.4150_mRNA or Hot5F3Rast.CDS.4150)) or (Hot5F3Rast.CDS.3226 or Hot5F3Rast.CDS.3226_mRNA))	phosphate-transporting ATPase [c0]		(1) cpd00001[c0] + (1) cpd00002[c0] + (1) cpd00009[e0] => (1) cpd00008[c0] + (2) cpd00009[c0] + (1) cpd00067[c0]	(1) H2O [c0][c0] + (1) ATP [c0][c0] + (1) Phosphate [e0][e0] => (1) ADP [c0][c0] + (2) Phosphate [c0][c0] + (1) H+ [c0][c0]	0	0	0	65.6492	1000
